1,001,サルノリ,さるのり
2,002,バチンキー,ばちんきー
3,003,ゴリランダー,ごりらんだー
4,004,ヒバニー,ひばにー
5,005,ラビフット,らびふっと
6,006,エースバーン,えーすばーん
7,007,メッソン,めっそん
8,008,ジメレオン,じめれおん
9,009,インテレオン,いんてれおん
10,010,サッチムシ,さっちむし
11,011,レドームシ,れどーむし
12,012,イオルブ,いおるぶ
13,013,キャタピー,きゃたぴー
14,014,トランセル,とらんせる
15,015,バタフリー,ばたふりー
16,016,アゴジムシ,あごじむし
17,017,デンヂムシ,でんぢむし
18,018,クワガノン,くわがのん
19,019,ホーホー,ほーほー
20,020,ヨルノズク,よるのずく
21,021,ココガラ,ここがら
22,022,アオガラス,あおがらす
23,023,アーマーガア,あーまーがあ
24,024,ホシガリス,ほしがりす
25,025,ヨクバリス,よくばりす
26,026,マメパト,まめぱと
27,027,ハトーボー,はとーぼー
28,028,ケンホロウ,けんほろう
29,029,クスネ,くすね
30,030,フォクスライ,ふぉくすらい
31,031,ジグザグマ,じぐざぐま
32,032,マッスグマ,まっすぐま
33,033,タチフサグマ,たちふさぐま
34,034,ウールー,うーるー
35,035,バイウールー,ばいうーるー
36,036,ハスボー,はすぼー
37,037,ハスブレロ,はすぶれろ
38,038,ルンパッパ,るんぱっぱ
39,039,タネボー,たねぼー
40,040,コノハナ,このはな
41,041,ダーテング,だーてんぐ
42,042,カムカメ,かむかめ
43,043,カジリガメ,かじりがめ
44,044,チョロネコ,ちょろねこ
45,045,レパルダス,れぱるだす
46,046,ワンパチ,わんぱち
47,047,パルスワン,ぱるすわん
48,048,ホルビー,ほるびー
49,049,ホルード,ほるーど
50,050,チラーミィ,ちらーみぃ
51,051,チラチーノ,ちらちーの
52,052,アマカジ,あまかじ
53,053,アママイコ,あままいこ
54,054,アマージョ,あまーじょ
55,055,ナゾノクサ,なぞのくさ
56,056,クサイハナ,くさいはな
57,057,ラフレシア,らふれしあ
58,058,キレイハナ,きれいはな
59,059,スボミー,すぼみー
60,060,ロゼリア,ろぜりあ
61,061,ロズレイド,ろずれいど
62,062,キャモメ,きゃもめ
63,063,ペリッパー,ぺりっぱー
64,064,バチュル,ばちゅる
65,065,デンチュラ,でんちゅら
66,066,ラクライ,らくらい
67,067,ライボルト,らいぼると
68,068,ロコン,ろこん
69,069,キュウコン,きゅうこん
70,070,ガーディ,がーでぃ
71,071,ウインディ,ういんでぃ
72,072,バニプッチ,ばにぷっち
73,073,バニリッチ,ばにりっち
74,074,バイバニラ,ばいばにら
75,075,ウリムー,うりむー
76,076,イノムー,いのむー
77,077,マンムー,まんむー
78,078,デリバード,でりばーど
79,079,ユキワラシ,ゆきわらし
80,080,オニゴーリ,おにごーり
81,081,ユキメノコ,ゆきめのこ
82,082,ヤジロン,やじろん
83,083,ネンドール,ねんどーる
84,084,ドロバンコ,どろばんこ
85,085,バンバドロ,ばんばどろ
86,086,イシズマイ,いしずまい
87,087,イワパレス,いわぱれす
88,088,ゴビット,ごびっと
89,089,ゴルーグ,ごるーぐ
90,090,ムンナ,むんな
91,091,ムシャーナ,むしゃーな
92,092,ネイティ,ねいてぃ
93,093,ネイティオ,ねいてぃお
94,094,ヌイコグマ,ぬいこぐま
95,095,キテルグマ,きてるぐま
96,096,ユキカブリ,ゆきかぶり
97,097,ユキノオー,ゆきのおー
98,098,クラブ,くらぶ
99,099,キングラー,きんぐらー
100,100,ウパー,うぱー
101,101,ヌオー,ぬおー
102,102,ヘイガニ,へいがに
103,103,シザリガー,しざりがー
104,104,ツチニン,つちにん
105,105,テッカニン,てっかにん
106,106,ヌケニン,ぬけにん
107,107,バルキー,ばるきー
108,108,サワムラー,さわむらー
109,109,エビワラー,えびわらー
110,110,カポエラー,かぽえらー
111,111,ヤンチャム,やんちゃむ
112,112,ゴロンダ,ごろんだ
113,113,ギアル,ぎある
114,114,ギギアル,ぎぎある
115,115,ギギギアル,ぎぎぎある
116,116,ミツハニー,みつはにー
117,117,ビークイン,びーくいん
118,118,ドーミラー,どーみらー
119,119,ドータクン,どーたくん
120,120,ラルトス,らるとす
121,121,キルリア,きるりあ
122,122,サーナイト,さーないと
123,123,エルレイド,えるれいど
124,124,フワンテ,ふわんて
125,125,フワライド,ふわらいど
126,126,ヒメンカ,ひめんか
127,127,ワタシラガ,わたしらが
128,128,チェリンボ,ちぇりんぼ
129,129,チェリム,ちぇりむ
130,130,スカンプー,すかんぷー
131,131,スカタンク,すかたんく
132,132,オタマロ,おたまろ
133,133,ガマガル,がまがる
134,134,ガマゲロゲ,がまげろげ
135,135,ヨマワル,よまわる
136,136,サマヨール,さまよーる
137,137,ヨノワール,よのわーる
138,138,ワンリキー,わんりきー
139,139,ゴーリキー,ごーりきー
140,140,カイリキー,かいりきー
141,141,ゴース,ごーす
142,142,ゴースト,ごーすと
143,143,ゲンガー,げんがー
144,144,コイキング,こいきんぐ
145,145,ギャラドス,ぎゃらどす
146,146,トサキント,とさきんと
147,147,アズマオウ,あずまおう
148,148,テッポウオ,てっぽうお
149,149,オクタン,おくたん
150,150,シェルダー,しぇるだー
151,151,パルシェン,ぱるしぇん
152,152,ヒンバス,ひんばす
153,153,ミロカロス,みろかろす
154,154,バスラオ(あかすじ),ばすらお
155,154,バスラオ(あおすじ),ばすらお
156,155,ヨワシ(たんどくのすがた),よわし
157,155,ヨワシ(むれたすがた),よわし
158,156,ナマコブシ,なまこぶし
159,157,ヤブクロン,やぶくろん
160,158,ダストダス,だすとだす
161,159,ヤクデ,やくで
162,160,マルヤクデ,まるやくで
163,161,タンドン,たんどん
164,162,トロッゴン,とろっごん
165,163,セキタンザン,せきたんざん
166,164,ディグダ,でぃぐだ
167,165,ダグトリオ,だぐとりお
168,166,モグリュー,もぐりゅー
169,167,ドリュウズ,どりゅうず
170,168,ダンゴロ,だんごろ
171,169,ガントル,がんとる
172,170,ギガイアス,ぎがいあす
173,171,ドッコラー,どっこらー
