1,1,4
2,1,4
3,1,4
4,1,1
5,1,1
6,1,1
7,1,2
8,1,2
9,1,2
10,1,11
11,1,11
11,2,10
12,1,11
12,2,10
13,1,11
14,1,11
15,1,11
15,2,9
16,1,11
17,1,11
17,2,3
18,1,11
18,2,3
19,1,0
19,2,9
20,1,0
20,2,9
21,1,9
22,1,9
23,1,9
23,2,16
24,1,0
25,1,0
26,1,0
26,2,9
27,1,0
27,2,9
28,1,0
28,2,9
29,1,15
30,1,15
31,1,15
31,2,0
32,1,15
32,2,0
33,1,15
33,2,0
34,1,0
35,1,0
36,1,2
36,2,4
37,1,2
37,2,4
38,1,2
38,2,4
39,1,4
40,1,4
40,2,15
41,1,4
41,2,15
42,1,2
43,1,2
43,2,12
44,1,15
45,1,15
46,1,3
47,1,3
48,1,0
49,1,0
49,2,8
50,1,0
51,1,0
52,1,4
53,1,4
54,1,4
55,1,4
55,2,7
56,1,4
56,2,7
57,1,4
57,2,7
58,1,4
59,1,4
59,2,7
60,1,4
60,2,7
61,1,4
61,2,7
62,1,2
62,2,9
63,1,2
63,2,9
64,1,11
64,2,3
65,1,11
65,2,3
66,1,3
67,1,3
68,1,1
69,1,1
70,1,1
71,1,1
72,1,5
73,1,5
74,1,5
75,1,5
75,2,8
76,1,5
76,2,8
77,1,5
77,2,8
78,1,5
78,2,9
79,1,5
80,1,5
81,1,5
81,2,13
82,1,8
82,2,10
83,1,8
83,2,10
84,1,8
85,1,8
86,1,11
86,2,12
87,1,11
87,2,12
88,1,8
88,2,13
89,1,8
89,2,13
90,1,10
91,1,10
92,1,10
92,2,9
93,1,10
93,2,9
94,1,0
94,2,6
95,1,0
95,2,6
96,1,4
96,2,5
97,1,4
97,2,5
98,1,2
99,1,2
100,1,2
100,2,8
101,1,2
101,2,8
102,1,2
103,1,2
103,2,15
104,1,11
104,2,8
105,1,11
105,2,9
106,1,11
106,2,13
107,1,6
108,1,6
109,1,6
110,1,6
111,1,6
112,1,6
112,2,15
113,1,16
114,1,16
115,1,16
116,1,11
116,2,9
117,1,11
117,2,9
118,1,16
118,2,10
119,1,16
119,2,10
120,1,10
120,2,17
121,1,10
121,2,17
122,1,10
122,2,17
123,1,10
123,2,6
124,1,13
124,2,9
125,1,13
125,2,9
126,1,4
127,1,4
128,1,4
129,1,4
130,1,7
130,2,15
131,1,7
131,2,15
132,1,2
133,1,2
133,2,8
134,1,2
134,2,8
135,1,13
136,1,13
137,1,13
138,1,6
139,1,6
140,1,6
141,1,13
141,2,7
142,1,13
142,2,7
143,1,13
143,2,7
144,1,2
145,1,2
145,2,9
146,1,2
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
151,2,5
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,2
158,1,2
159,1,7
160,1,7
161,1,1
161,2,11
162,1,1
162,2,11
163,1,12
164,1,12
164,2,1
165,1,12
165,2,1
166,1,8
167,1,8
168,1,8
169,1,8
169,2,16
170,1,12
171,1,12
172,1,12
173,1,6
174,1,6
175,1,6
176,1,10
176,2,9
177,1,10
177,2,9
178,1,9
178,2,14
179,1,9
179,2,14
180,1,12
180,2,8
181,1,16
181,2,8
182,1,2
183,1,2
184,1,0
185,1,16
186,1,16
187,1,0
188,1,17
189,1,17
190,1,11
190,2,17
191,1,11
191,2,17
192,1,4
192,2,16
193,1,4
193,2,16
194,1,13
194,2,4
195,1,13
195,2,4
196,1,13
196,2,4
197,1,13
197,2,4
